APAS-TR PPP Solutions 
GPS-  Combination
 Epoch   YEAR    DOY     Sec of GPSweek       X-coordinates   Y-coordinates   Z coordinates      GPS rec clkoff     ZTD         ISB-GLO       ISB-GAL        ISB-BDS2      ISB-BDS3        ISB-J
   88     2023   344          2610.0000       -2713833.5029    5303935.1760   -2269513.5722       2.94866931        2.4471      0.000000       0.000000        0.000000      0.000000       0.000000
   89     2023   344          2640.0000       -2713833.5029    5303935.1754   -2269513.5723       2.42722387        2.4471      0.000000       0.000000        0.000000      0.000000       0.000000
   90     2023   344          2670.0000       -2713833.5043    5303935.1759   -2269513.5727       2.53797968        2.4474      0.000000       0.000000        0.000000      0.000000       0.000000
   91     2023   344          2700.0000       -2713833.5042    5303935.1759   -2269513.5730       2.45495227        2.4477      0.000000       0.000000        0.000000      0.000000       0.000000
   92     2023   344          2730.0000       -2713833.5039    5303935.1758   -2269513.5731       2.51920360        2.4479      0.000000       0.000000        0.000000      0.000000       0.000000
   93     2023   344          2760.0000       -2713833.5039    5303935.1758   -2269513.5729       2.57954526        2.4483      0.000000       0.000000        0.000000      0.000000       0.000000
   94     2023   344          2790.0000       -2713833.5041    5303935.1756   -2269513.5729       3.02268957        2.4487      0.000000       0.000000        0.000000      0.000000       0.000000
   95     2023   344          2820.0000       -2713833.5051    5303935.1755   -2269513.5731       3.64957725        2.4489      0.000000       0.000000        0.000000      0.000000       0.000000
   96     2023   344          2850.0000       -2713833.5057    5303935.1750   -2269513.5727       2.44189197        2.4484      0.000000       0.000000        0.000000      0.000000       0.000000
   97     2023   344          2880.0000       -2713833.5082    5303935.1757   -2269513.5730       2.37373221        2.4477      0.000000       0.000000        0.000000      0.000000       0.000000
   98     2023   344          2910.0000       -2713833.5094    5303935.1764   -2269513.5729       2.46152895        2.4472      0.000000       0.000000        0.000000      0.000000       0.000000
   99     2023   344          2940.0000       -2713833.5101    5303935.1766   -2269513.5725       2.48184800        2.4466      0.000000       0.000000        0.000000      0.000000       0.000000
  100     2023   344          2970.0000       -2713833.5096    5303935.1765   -2269513.5720       2.68871563        2.4462      0.000000       0.000000        0.000000      0.000000       0.000000
  101     2023   344          3000.0000       -2713833.5085    5303935.1765   -2269513.5717       2.50973503        2.4464      0.000000       0.000000        0.000000      0.000000       0.000000
  102     2023   344          3030.0000       -2713833.5085    5303935.1763   -2269513.5714       2.49165852        2.4466      0.000000       0.000000        0.000000      0.000000       0.000000
  103     2023   344          3060.0000       -2713833.5094    5303935.1762   -2269513.5713       2.75303782        2.4463      0.000000       0.000000        0.000000      0.000000       0.000000
  104     2023   344          3090.0000       -2713833.5078    5303935.1754   -2269513.5705       2.36085300        2.4458      0.000000       0.000000        0.000000      0.000000       0.000000
  105     2023   344          3120.0000       -2713833.5074    5303935.1749   -2269513.5700       2.34936357        2.4450      0.000000       0.000000        0.000000      0.000000       0.000000
  106     2023   344          3150.0000       -2713833.5087    5303935.1750   -2269513.5699       2.30629678        2.4441      0.000000       0.000000        0.000000      0.000000       0.000000
  107     2023   344          3180.0000       -2713833.5098    5303935.1750   -2269513.5696       2.25974721        2.4437      0.000000       0.000000        0.000000      0.000000       0.000000
  108     2023   344          3210.0000       -2713833.5099    5303935.1751   -2269513.5692       2.39618086        2.4432      0.000000       0.000000        0.000000      0.000000       0.000000
  109     2023   344          3240.0000       -2713833.5094    5303935.1747   -2269513.5691       2.69596650        2.4428      0.000000       0.000000        0.000000      0.000000       0.000000
  110     2023   344          3270.0000       -2713833.5100    5303935.1742   -2269513.5692       2.52258214        2.4433      0.000000       0.000000        0.000000      0.000000       0.000000
  111     2023   344          3300.0000       -2713833.5110    5303935.1742   -2269513.5693       2.58732432        2.4436      0.000000       0.000000        0.000000      0.000000       0.000000
  112     2023   344          3330.0000       -2713833.5111    5303935.1744   -2269513.5694       2.44343409        2.4433      0.000000       0.000000        0.000000      0.000000       0.000000
  113     2023   344          3360.0000       -2713833.5125    5303935.1747   -2269513.5696       2.49341608        2.4425      0.000000       0.000000        0.000000      0.000000       0.000000
